timestamp,accel_x,accel_y,accel_z
389,0.75,2.48,0.61
413,11.06,15.07,11.01
436,9.04,-4.67,8.71
460,-12.63,-12.55,13.05
483,-6.67,9.40,9.51
507,13.48,13.59,12.67
530,2.70,-9.61,9.18
554,-15.28,-8.49,12.16
577,0.69,13.40,9.82
601,14.73,8.54,12.04
624,-4.93,-12.86,11.30
648,-14.89,-2.81,10.20
671,8.49,15.52,10.80
695,13.28,1.82,9.97
718,-11.78,-13.35,13.10
742,-7.19,8.89,9.45
765,13.63,13.86,12.72
789,2.11,-9.94,9.12
812,-15.64,-8.40,12.09
836,2.58,14.04,9.91
859,14.60,7.52,11.77
883,-5.74,-13.13,11.58
906,-14.47,-2.40,10.28
930,7.71,15.00,10.71
953,13.62,3.34,10.49
977,-9.19,-13.35,12.57
1000,-12.95,0.47,9.56
1024,10.61,15.05,11.60
1047,12.15,0.34,9.62
1071,-11.30,-12.86,12.97
1095,-11.73,3.06,9.38
1118,11.45,14.63,12.00
1142,11.10,-1.29,9.25
1165,-12.67,-12.56,13.12
1189,-10.21,5.62,9.25
1212,13.31,13.57,12.77
1236,7.42,-5.86,8.44
1259,-15.40,-8.66,12.33
1283,-3.72,11.31,9.63
1306,14.59,7.67,11.91
1330,-1.09,-11.22,9.84
1353,-14.25,-1.50,10.05
1377,4.52,14.60,10.03
1400,12.54,1.08,9.70
1424,-8.27,-13.56,12.17
1447,-10.77,4.76,9.31
1471,10.85,15.48,11.52
1494,8.07,-5.00,8.35
1518,-13.87,-12.58,13.35
1541,-3.66,11.11,9.59
1565,14.55,12.04,12.89
1588,-3.34,-12.57,10.08
1612,-15.29,-3.59,10.68
1635,10.62,16.14,11.16
1659,11.74,-0.73,8.93
1683,-15.16,-11.78,13.51
1706,-6.05,9.46,9.27
1730,14.98,9.36,12.48
1753,-1.64,-11.45,9.31
1777,-13.91,-0.47,9.84
1800,12.19,15.74,11.91
1824,10.45,-2.00,8.63
1847,-14.92,-11.48,13.36
1871,-6.26,9.03,9.33
1894,14.63,10.33,12.79
1918,0.90,-10.16,8.66
1941,-14.75,-3.66,10.78
1962,-57.80,-0.92,24.52
1982,-57.80,-0.92,24.52
2002,-57.80,-0.92,24.52
2022,-57.80,-0.92,24.52
2046,7.16,-5.55,8.05
2069,-15.38,-8.98,12.75
2093,-3.28,11.13,9.51
2117,14.33,8.09,12.19
2140,-1.33,-11.08,9.20
2164,-13.99,-2.16,10.35
2187,5.15,14.84,10.02
2211,11.99,1.02,9.58
2234,-8.88,-13.46,12.03
2258,-10.10,4.59,9.28
2281,11.12,15.67,11.58
2305,7.63,-4.92,8.17
2328,-13.42,-12.84,13.46
2352,-4.73,10.25,9.44
2375,14.02,13.17,13.19
2399,0.03,-10.22,8.65
2422,-15.40,-8.03,12.48
2446,3.95,14.13,9.84
2469,14.09,7.14,11.79
2493,-8.51,-13.66,11.62
2516,-10.24,4.63,9.22
2540,11.75,15.27,11.81
2563,7.27,-4.86,7.94
