timestamp,accel_x,accel_y,accel_z
390,-0.13,0.30,0.59
414,-0.94,-0.55,10.25
437,-1.59,-4.35,11.15
461,2.68,-0.77,11.74
484,-0.89,-0.78,10.72
508,-2.43,-4.08,10.64
531,3.09,-0.24,11.77
555,-0.53,-0.53,10.79
578,-0.95,-4.19,11.36
602,3.20,-0.02,11.74
625,-2.66,-2.98,10.08
649,0.28,-3.25,11.55
672,0.97,0.64,10.95
696,-2.84,-3.73,10.24
719,3.09,-0.16,11.79
743,-1.46,-1.61,10.62
766,0.58,-2.74,11.67
790,1.87,0.72,11.18
813,-2.23,-4.24,10.75
837,3.04,-0.24,11.86
860,-2.69,-3.08,10.01
884,0.92,-2.39,11.68
907,-0.32,-0.53,10.82
931,-1.76,-4.33,11.00
954,2.25,0.69,11.29
978,-2.95,-3.44,10.06
1001,3.08,-0.18,11.86
1025,-1.75,-2.08,10.45
1048,1.52,-1.80,11.80
1072,0.66,0.41,10.92
1095,-0.79,-3.98,11.30
1119,1.17,0.60,10.97
1142,-2.51,-4.03,10.48
1166,3.00,-0.33,11.91
1189,-2.84,-3.21,10.00
1213,2.86,-0.46,11.91
1236,-1.34,-1.63,10.58
1260,1.25,-2.03,11.74
1284,0.74,0.45,10.93
1307,-0.77,-3.89,11.38
1331,2.53,0.57,11.38
1354,-2.31,-4.19,10.66
1378,3.12,-0.12,11.82
1401,-2.93,-3.40,9.99
1425,2.15,-1.18,11.89
1448,-2.02,-2.36,10.38
1472,0.23,-3.05,11.55
1495,-0.06,-0.32,10.79
1519,-1.64,-4.26,11.06
1542,1.81,0.73,11.10
1566,-2.76,-3.83,10.30
1589,3.06,0.22,11.64
1613,-2.70,-3.07,10.06
1636,2.85,-0.53,11.91
1660,-1.35,-1.66,10.58
1683,1.29,-1.89,11.81
1707,0.65,0.35,10.89
1731,-0.57,-3.79,11.42
1754,0.71,0.38,10.90
1778,-2.26,-4.20,10.72
1801,2.44,0.57,11.31
1825,-2.93,-3.50,10.07
1848,3.20,-0.03,11.80
1872,-2.26,-2.64,10.26
1895,2.31,-1.03,11.92
1919,-0.46,-0.69,10.80
1942,0.40,-2.69,11.64
1966,1.73,0.62,11.06
1989,-1.71,-4.34,11.01
2013,3.05,0.20,11.69
2036,-2.98,-3.68,10.17
2060,2.50,-0.75,11.93
2083,-2.27,-2.66,10.26
2107,0.48,-2.82,11.60
2130,-0.18,-0.43,10.79
2154,-1.59,-4.29,11.06
2177,1.87,0.74,11.13
2201,-2.81,-3.74,10.21
2224,3.10,0.10,11.68
2248,-2.59,-2.93,10.09
2272,2.64,-0.72,11.93
2295,-0.94,-1.19,10.68
2319,0.82,-2.41,11.72
2342,1.12,0.61,10.96
2366,-1.14,-4.13,11.26
2389,2.80,0.43,11.50
2413,-2.65,-4.01,10.45
2436,2.99,-0.39,11.89
2460,-2.78,-3.15,10.04
2483,1.46,-1.81,11.82
2507,-1.31,-1.53,10.62
